	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Acropora_cervicornis	1		1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Aiptasia_pallida	1	1		1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Amoebidium	1	1	1		1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Amphimedon_queenslandica	1	1	1	1		1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Aphrocallistes_vastus	1	1	1	1	1		1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Aurelia_aurita	1	1	1	1	1	1		1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Beroe_abyssicola	1	1	1	1	1	1	1		1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Bolocera_tuediae	1	1	1	1	1	1	1	1		0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Botryllus_schlosseri	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847		0.985221674876847	0	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.876847290640394	0.985221674876847	0.985221674876847	0	0.985221674876847	0.985221674876847	0.985221674876847	0.945812807881773	0.985221674876847	0.985221674876847	0.985221674876847	0.945812807881773	0.985221674876847	0.748768472906404	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.980295566502463	0.985221674876847	0	0.891625615763547	0.738916256157635	0.985221674876847	0.926108374384236	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.985221674876847	0.945812807881773	0.985221674876847	0.950738916256158	0.985221674876847	0.985221674876847	0.408866995073892	0.985221674876847	0.985221674876847	0.980295566502463	0.985221674876847	0	0.985221674876847	0.985221674876847	0.852216748768473	0.985221674876847	0.985221674876847	0.901477832512315	0	0.733990147783251	0.985221674876847	0.985221674876847	0	0.985221674876847
Branchiostoma_floridae	1	1	1	1	1	1	1	1	1	0.985221674876847		0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Buddenbrockia_plumatellae	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capitella_teleta	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0		1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Capsaspora_owczarzaki_atcc30864	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1		1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Chondrilla_nucula	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1		1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Ciona_intestinalis	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1		1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Clytia_hemisphaerica	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1		0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Corticium_candelabrum	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394		0.876847290640394	0.876847290640394	0	0.876847290640394	0.876847290640394	0.876847290640394	0.847290640394089	0.876847290640394	0.876847290640394	0.876847290640394	0.87192118226601	0.876847290640394	0.70935960591133	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.87192118226601	0.876847290640394	0	0.817733990147783	0.699507389162562	0.876847290640394	0.817733990147783	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.876847290640394	0.83743842364532	0.876847290640394	0.842364532019704	0.876847290640394	0.876847290640394	0.369458128078818	0.876847290640394	0.876847290640394	0.87192118226601	0.876847290640394	0	0.876847290640394	0.876847290640394	0.788177339901478	0.876847290640394	0.876847290640394	0.827586206896552	0	0.689655172413793	0.876847290640394	0.876847290640394	0	0.876847290640394
Craspedacusta_sowerbyi	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394		1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Crassostrea_gigas	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1		0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Cyanea_capillata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daphnia_pulex	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0		1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Ectopleura_larynx	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1		1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Edwardsiella_lineata	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1		0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Enteromyxum_leei	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.945812807881773	0.960591133004926	0	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.847290640394089	0.960591133004926	0.960591133004926	0	0.960591133004926	0.960591133004926	0.960591133004926		0.960591133004926	0.960591133004926	0.960591133004926	0.9064039408867	0.960591133004926	0.729064039408867	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0	0.852216748768473	0.704433497536946	0.960591133004926	0.901477832512315	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.960591133004926	0.926108374384236	0.960591133004926	0.926108374384236	0.960591133004926	0.960591133004926	0.38423645320197	0.960591133004926	0.960591133004926	0.955665024630542	0.960591133004926	0	0.960591133004926	0.960591133004926	0.83743842364532	0.960591133004926	0.960591133004926	0.862068965517241	0	0.694581280788177	0.960591133004926	0.960591133004926	0	0.960591133004926
Ephydatia_muelleri	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926		1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Eunicella_cavolinii	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1		1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Euplectella_aspergillum	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1		0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Euplokamis_dunlapae	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.87192118226601	0.945812807881773	0.945812807881773	0	0.945812807881773	0.945812807881773	0.945812807881773	0.9064039408867	0.945812807881773	0.945812807881773	0.945812807881773		0.945812807881773	0.738916256157635	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.940886699507389	0.945812807881773	0	0.891625615763547	0.738916256157635	0.945812807881773	0.886699507389163	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.945812807881773	0.9064039408867	0.945812807881773	0.911330049261084	0.945812807881773	0.945812807881773	0.408866995073892	0.945812807881773	0.945812807881773	0.940886699507389	0.945812807881773	0	0.945812807881773	0.945812807881773	0.817733990147783	0.945812807881773	0.945812807881773	0.901477832512315	0	0.724137931034483	0.945812807881773	0.945812807881773	0	0.945812807881773
Gorgonia_ventalina	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773		0.748768472906404	1	1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Helobdella_robusta	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.70935960591133	0.748768472906404	0.748768472906404	0	0.748768472906404	0.748768472906404	0.748768472906404	0.729064039408867	0.748768472906404	0.748768472906404	0.748768472906404	0.738916256157635	0.748768472906404		0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0	0.684729064039409	0.532019704433498	0.748768472906404	0.694581280788177	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.714285714285714	0.748768472906404	0.748768472906404	0.231527093596059	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.748768472906404	0.694581280788177	0	0.527093596059113	0.748768472906404	0.748768472906404	0	0.748768472906404
Homo_sapiens	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404		1	1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Hormathia_digitata	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1		1	1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Hydra_magnipapillata	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1		1	1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Hydractinia_polyclina	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1		1	1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Ilyanassa_obsoleta	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1		1	0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Ixodes_scapularis	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1		0.995073891625616	1	0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Kudoa_iwatai	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.980295566502463	0.995073891625616	0	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.87192118226601	0.995073891625616	0.995073891625616	0	0.995073891625616	0.995073891625616	0.995073891625616	0.960591133004926	0.995073891625616	0.995073891625616	0.995073891625616	0.940886699507389	0.995073891625616	0.748768472906404	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616		0.995073891625616	0	0.886699507389163	0.733990147783251	0.995073891625616	0.935960591133005	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.960591133004926	0.995073891625616	0.960591133004926	0.995073891625616	0.995073891625616	0.403940886699507	0.995073891625616	0.995073891625616	0.990147783251232	0.995073891625616	0	0.995073891625616	0.995073891625616	0.862068965517241	0.995073891625616	0.995073891625616	0.896551724137931	0	0.729064039408867	0.995073891625616	0.995073891625616	0	0.995073891625616
Latimeria_menadoensis	1	1	1	1	1	1	1	1	1	0.985221674876847	1	0	1	1	1	1	1	0.876847290640394	1	1	0	1	1	1	0.960591133004926	1	1	1	0.945812807881773	1	0.748768472906404	1	1	1	1	1	1	0.995073891625616		0	0.891625615763547	0.738916256157635	1	0.940886699507389	1	1	1	1	1	1	1	1	1	1	0.960591133004926	1	0.96551724137931	1	1	0.408866995073892	1	1	0.995073891625616	1	0	1	1	0.866995073891626	1	1	0.901477832512315	0	0.733990147783251	1	1	0	1
Leucetta_chagosensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ministeria_vibrans_atcc50519	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.817733990147783	0.891625615763547	0.891625615763547	0	0.891625615763547	0.891625615763547	0.891625615763547	0.852216748768473	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.684729064039409	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.886699507389163	0.891625615763547	0		0.724137931034483	0.891625615763547	0.832512315270936	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.891625615763547	0.852216748768473	0.891625615763547	0.857142857142857	0.891625615763547	0.891625615763547	0.408866995073892	0.891625615763547	0.891625615763547	0.886699507389163	0.891625615763547	0	0.891625615763547	0.891625615763547	0.763546798029557	0.891625615763547	0.891625615763547	0.891625615763547	0	0.669950738916256	0.891625615763547	0.891625615763547	0	0.891625615763547
