	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.966666666666667	0.953333333333333	0.973333333333333	0	0.973333333333333	0.973333333333333	0.973333333333333	0	0.973333333333333	0	0.973333333333333	0.973333333333333	0.973333333333333	0.866666666666667	0.973333333333333	0.766666666666667	0.973333333333333	0.973333333333333	0.973333333333333	0.973333333333333	0.3	0	0.973333333333333	0.9	0.973333333333333	0	0.973333333333333	0	0.966666666666667	0.973333333333333	0.966666666666667	0.966666666666667	0.593333333333333	0.973333333333333	0.94	0.973333333333333	0.973333333333333	0.966666666666667	0	0.973333333333333	0.973333333333333	0.966666666666667	0	0.966666666666667	0.966666666666667	0	0.973333333333333	0.973333333333333	0.973333333333333	0	0	0	0.973333333333333	0	0	0.973333333333333	0.973333333333333	0.973333333333333	0.973333333333333	0.94	0.973333333333333	0.973333333333333	0.966666666666667	0.853333333333333	0.673333333333333	0	0.973333333333333	0.973333333333333	0.973333333333333	0	0	0.966666666666667	0.966666666666667	0.973333333333333	0.973333333333333	0.973333333333333	0	0.813333333333333	0.973333333333333	0.953333333333333	0.973333333333333	0.973333333333333	0.973333333333333	0.973333333333333	0.94	0.926666666666667	0.973333333333333	0.966666666666667	0.973333333333333	0.973333333333333	0	0	0.973333333333333	0.973333333333333	0.913333333333333	0.973333333333333
Acanthoeca_sp_10tr	0.966666666666667		0.98	0.986666666666667	0	0.993333333333333	0.986666666666667	0.993333333333333	0	0.993333333333333	0	0.993333333333333	0.986666666666667	0.986666666666667	0.893333333333333	0.986666666666667	0.78	0.986666666666667	0.993333333333333	0.993333333333333	0.993333333333333	0.326666666666667	0	0.986666666666667	0.926666666666667	0.986666666666667	0	0.986666666666667	0	0.96	0.986666666666667	0.986666666666667	0.993333333333333	0.593333333333333	0.973333333333333	0.933333333333333	0.986666666666667	0.986666666666667	0.98	0	0.993333333333333	0.993333333333333	0.986666666666667	0	0.96	0.96	0	0.986666666666667	0.986666666666667	0.986666666666667	0	0	0	0.993333333333333	0	0	0.993333333333333	0.973333333333333	0.986666666666667	0.986666666666667	0.953333333333333	0.986666666666667	0.986666666666667	0.986666666666667	0.846666666666667	0.673333333333333	0	0.986666666666667	0.993333333333333	0.993333333333333	0	0	0.993333333333333	0.986666666666667	0.986666666666667	0.98	0.993333333333333	0	0.826666666666667	0.993333333333333	0.973333333333333	0.993333333333333	0.993333333333333	0.993333333333333	0.993333333333333	0.96	0.953333333333333	0.993333333333333	0.993333333333333	0.986666666666667	0.993333333333333	0	0	0.98	0.993333333333333	0.94	0.986666666666667
Acanthoeca_spectabilis_VA_02	0.953333333333333	0.98		0.973333333333333	0	0.98	0.973333333333333	0.98	0	0.98	0	0.98	0.973333333333333	0.973333333333333	0.88	0.973333333333333	0.766666666666667	0.973333333333333	0.98	0.98	0.98	0.326666666666667	0	0.973333333333333	0.926666666666667	0.973333333333333	0	0.973333333333333	0	0.946666666666667	0.973333333333333	0.973333333333333	0.98	0.58	0.96	0.92	0.973333333333333	0.973333333333333	0.966666666666667	0	0.98	0.98	0.973333333333333	0	0.946666666666667	0.946666666666667	0	0.973333333333333	0.973333333333333	0.973333333333333	0	0	0	0.98	0	0	0.98	0.96	0.973333333333333	0.973333333333333	0.953333333333333	0.973333333333333	0.973333333333333	0.973333333333333	0.833333333333333	0.66	0	0.973333333333333	0.98	0.98	0	0	0.98	0.973333333333333	0.973333333333333	0.966666666666667	0.98	0	0.813333333333333	0.98	0.966666666666667	0.98	0.98	0.98	0.98	0.953333333333333	0.946666666666667	0.98	0.98	0.973333333333333	0.98	0	0	0.966666666666667	0.98	0.926666666666667	0.973333333333333
Aiptasia_pallida	0.973333333333333	0.986666666666667	0.973333333333333		0	0.993333333333333	0.993333333333333	0.993333333333333	0	0.993333333333333	0	0.993333333333333	0.993333333333333	0.993333333333333	0.886666666666667	0.993333333333333	0.786666666666667	0.993333333333333	0.993333333333333	0.993333333333333	0.993333333333333	0.32	0	0.993333333333333	0.92	0.993333333333333	0	0.993333333333333	0	0.966666666666667	0.993333333333333	0.986666666666667	0.986666666666667	0.593333333333333	0.98	0.94	0.993333333333333	0.993333333333333	0.986666666666667	0	0.993333333333333	0.993333333333333	0.986666666666667	0	0.966666666666667	0.966666666666667	0	0.993333333333333	0.993333333333333	0.993333333333333	0	0	0	0.993333333333333	0	0	0.993333333333333	0.98	0.993333333333333	0.993333333333333	0.96	0.993333333333333	0.993333333333333	0.986666666666667	0.853333333333333	0.673333333333333	0	0.993333333333333	0.993333333333333	0.993333333333333	0	0	0.986666666666667	0.986666666666667	0.993333333333333	0.986666666666667	0.993333333333333	0	0.833333333333333	0.993333333333333	0.973333333333333	0.993333333333333	0.993333333333333	0.993333333333333	0.993333333333333	0.96	0.946666666666667	0.993333333333333	0.986666666666667	0.993333333333333	0.993333333333333	0	0	0.986666666666667	0.993333333333333	0.933333333333333	0.993333333333333
Alatina_alata	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium_parasiticum_JAP72	0.973333333333333	0.993333333333333	0.98	0.993333333333333	0		0.993333333333333	1	0	1	0	1	0.993333333333333	0.993333333333333	0.893333333333333	0.993333333333333	0.786666666666667	0.993333333333333	1	1	1	0.326666666666667	0	0.993333333333333	0.926666666666667	0.993333333333333	0	0.993333333333333	0	0.966666666666667	0.993333333333333	0.986666666666667	0.993333333333333	0.593333333333333	0.98	0.94	0.993333333333333	0.993333333333333	0.986666666666667	0	1	1	0.993333333333333	0	0.966666666666667	0.966666666666667	0	0.993333333333333	0.993333333333333	0.993333333333333	0	0	0	1	0	0	1	0.98	0.993333333333333	0.993333333333333	0.96	0.993333333333333	0.993333333333333	0.993333333333333	0.853333333333333	0.673333333333333	0	0.993333333333333	1	1	0	0	0.993333333333333	0.993333333333333	0.993333333333333	0.986666666666667	1	0	0.833333333333333	1	0.98	1	1	1	1	0.966666666666667	0.953333333333333	1	0.993333333333333	0.993333333333333	1	0	0	0.986666666666667	1	0.94	0.993333333333333
Amphimedon_queenslandica	0.973333333333333	0.986666666666667	0.973333333333333	0.993333333333333	0	0.993333333333333		0.993333333333333	0	0.993333333333333	0	0.993333333333333	0.993333333333333	0.993333333333333	0.886666666666667	0.993333333333333	0.786666666666667	0.993333333333333	0.993333333333333	0.993333333333333	0.993333333333333	0.32	0	0.993333333333333	0.92	0.993333333333333	0	0.993333333333333	0	0.966666666666667	0.993333333333333	0.986666666666667	0.986666666666667	0.593333333333333	0.98	0.94	0.993333333333333	0.993333333333333	0.986666666666667	0	0.993333333333333	0.993333333333333	0.986666666666667	0	0.966666666666667	0.966666666666667	0	0.993333333333333	0.993333333333333	0.993333333333333	0	0	0	0.993333333333333	0	0	0.993333333333333	0.98	0.993333333333333	0.993333333333333	0.96	0.993333333333333	0.993333333333333	0.986666666666667	0.853333333333333	0.673333333333333	0	0.993333333333333	0.993333333333333	0.993333333333333	0	0	0.986666666666667	0.986666666666667	0.993333333333333	0.986666666666667	0.993333333333333	0	0.833333333333333	0.993333333333333	0.973333333333333	0.993333333333333	0.993333333333333	0.993333333333333	0.993333333333333	0.96	0.946666666666667	0.993333333333333	0.986666666666667	0.993333333333333	0.993333333333333	0	0	0.986666666666667	0.993333333333333	0.933333333333333	0.993333333333333
Antipathes_caribbeana	0.973333333333333	0.993333333333333	0.98	0.993333333333333	0	1	0.993333333333333		0	1	0	1	0.993333333333333	0.993333333333333	0.893333333333333	0.993333333333333	0.786666666666667	0.993333333333333	1	1	1	0.326666666666667	0	0.993333333333333	0.926666666666667	0.993333333333333	0	0.993333333333333	0	0.966666666666667	0.993333333333333	0.986666666666667	0.993333333333333	0.593333333333333	0.98	0.94	0.993333333333333	0.993333333333333	0.986666666666667	0	1	1	0.993333333333333	0	0.966666666666667	0.966666666666667	0	0.993333333333333	0.993333333333333	0.993333333333333	0	0	0	1	0	0	1	0.98	0.993333333333333	0.993333333333333	0.96	0.993333333333333	0.993333333333333	0.993333333333333	0.853333333333333	0.673333333333333	0	0.993333333333333	1	1	0	0	0.993333333333333	0.993333333333333	0.993333333333333	0.986666666666667	1	0	0.833333333333333	1	0.98	1	1	1	1	0.966666666666667	0.953333333333333	1	0.993333333333333	0.993333333333333	1	0	0	0.986666666666667	1	0.94	0.993333333333333
Aphrocallistes_vastus	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplysia_californica	0.973333333333333	0.993333333333333	0.98	0.993333333333333	0	1	0.993333333333333	1	0		0	1	0.993333333333333	0.993333333333333	0.893333333333333	0.993333333333333	0.786666666666667	0.993333333333333	1	1	1	0.326666666666667	0	0.993333333333333	0.926666666666667	0.993333333333333	0	0.993333333333333	0	0.966666666666667	0.993333333333333	0.986666666666667	0.993333333333333	0.593333333333333	0.98	0.94	0.993333333333333	0.993333333333333	0.986666666666667	0	1	1	0.993333333333333	0	0.966666666666667	0.966666666666667	0	0.993333333333333	0.993333333333333	0.993333333333333	0	0	0	1	0	0	1	0.98	0.993333333333333	0.993333333333333	0.96	0.993333333333333	0.993333333333333	0.993333333333333	0.853333333333333	0.673333333333333	0	0.993333333333333	1	1	0	0	0.993333333333333	0.993333333333333	0.993333333333333	0.986666666666667	1	0	0.833333333333333	1	0.98	1	1	1	1	0.966666666666667	0.953333333333333	1	0.993333333333333	0.993333333333333	1	0	0	0.986666666666667	1	0.94	0.993333333333333
