	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Atolla_vanhoeffeni	0.158490566037736	0.0113207547169811	0.0113207547169811	0	0.0150943396226415	0.0716981132075472	0.0754716981132075	0.158490566037736	0.132075471698113	0		0.0113207547169811	0.060377358490566	0.158490566037736	0.158490566037736	0.0867924528301887	0.0264150943396226	0.0452830188679245	0.0150943396226415	0.158490566037736	0.0150943396226415	0.158490566037736	0.158490566037736	0.0339622641509434	0.0150943396226415	0.00754716981132075	0.00754716981132075	0.0113207547169811	0.060377358490566	0.158490566037736	0.0641509433962264	0.00754716981132075	0.0150943396226415	0.132075471698113	0.0981132075471698	0.060377358490566	0.132075471698113	0.135849056603774	0.158490566037736	0	0.0150943396226415	0	0.0339622641509434	0.158490566037736	0.00754716981132075	0.0113207547169811	0.158490566037736	0.158490566037736	0.124528301886792	0	0.124528301886792	0	0	0.0377358490566038	0.0264150943396226	0.158490566037736	0	0	0.158490566037736	0.0679245283018868	0.0226415094339623	0.113207547169811	0	0.0339622641509434	0.0339622641509434	0.0188679245283019	0.158490566037736	0.124528301886792	0.030188679245283	0.060377358490566	0	0.0188679245283019	0.0339622641509434	0.158490566037736	0.158490566037736	0.0264150943396226	0.0830188679245283	0.0150943396226415	0.060377358490566	0.0339622641509434	0.0150943396226415	0.0264150943396226	0.0150943396226415	0.0150943396226415	0.0339622641509434	0.0150943396226415	0.0679245283018868	0.0641509433962264	0.0150943396226415	0.0226415094339623	0.0981132075471698	0.158490566037736	0.00377358490566038	0.124528301886792	0.0566037735849057	0.0264150943396226	0.00377358490566038
Aurelia_aurita	0.030188679245283	0	0	0	0.0150943396226415	0.0150943396226415	0.030188679245283	0.030188679245283	0.030188679245283	0	0.0113207547169811		0.030188679245283	0.030188679245283	0.030188679245283	0	0.0264150943396226	0.030188679245283	0	0.030188679245283	0	0.030188679245283	0.030188679245283	0.0113207547169811	0	0	0	0.0226415094339623	0.030188679245283	0.030188679245283	0.0150943396226415	0	0	0	0	0.030188679245283	0.0150943396226415	0	0.030188679245283	0	0.030188679245283	0	0	0.030188679245283	0.0188679245283019	0.0226415094339623	0.030188679245283	0.030188679245283	0.030188679245283	0	0.030188679245283	0	0	0.0226415094339623	0.030188679245283	0.030188679245283	0	0	0.030188679245283	0.030188679245283	0	0.0226415094339623	0	0	0	0.030188679245283	0.030188679245283	0.030188679245283	0.030188679245283	0.030188679245283	0	0.030188679245283	0	0.030188679245283	0.030188679245283	0.030188679245283	0.030188679245283	0	0.030188679245283	0.030188679245283	0	0.0113207547169811	0	0	0	0	0.030188679245283	0.030188679245283	0	0.030188679245283	0.0113207547169811	0.030188679245283	0	0.030188679245283	0.0113207547169811	0.030188679245283	0
Beroe_abyssicola	0.411320754716981	0.0415094339622641	0.0150943396226415	0	0.0226415094339623	0.264150943396226	0.166037735849057	0.411320754716981	0.132075471698113	0.0188679245283019	0.060377358490566	0.030188679245283		0.411320754716981	0.411320754716981	0.252830188679245	0.0905660377358491	0.294339622641509	0.0188679245283019	0.411320754716981	0.116981132075472	0.39622641509434	0.411320754716981	0.10188679245283	0.0943396226415094	0.0264150943396226	0.0113207547169811	0.0264150943396226	0.158490566037736	0.411320754716981	0.0641509433962264	0.0264150943396226	0.0754716981132075	0.10188679245283	0.00377358490566038	0.320754716981132	0.169811320754717	0.283018867924528	0.411320754716981	0	0.0981132075471698	0.0113207547169811	0.105660377358491	0.411320754716981	0.0377358490566038	0.0339622641509434	0.20377358490566	0.411320754716981	0.264150943396226	0.0415094339622641	0.116981132075472	0	0	0.0679245283018868	0.120754716981132	0.411320754716981	0.00377358490566038	0.0716981132075472	0.411320754716981	0.0641509433962264	0.169811320754717	0.0716981132075472	0	0.267924528301887	0.260377358490566	0.0641509433962264	0.411320754716981	0.226415094339623	0.128301886792453	0.411320754716981	0.0113207547169811	0.0641509433962264	0.105660377358491	0.411320754716981	0.411320754716981	0.113207547169811	0.0830188679245283	0.030188679245283	0.392452830188679	0.222641509433962	0.120754716981132	0.0830188679245283	0.0754716981132075	0.113207547169811	0.139622641509434	0.060377358490566	0.411320754716981	0.20377358490566	0.0981132075471698	0.0792452830188679	0.0566037735849057	0.411320754716981	0.00377358490566038	0.113207547169811	0.0716981132075472	0.109433962264151	0.0377358490566038
Beroe_sp	1	0.0679245283018868	0.0264150943396226	0	0.0792452830188679	0.354716981132075	0.256603773584906	1	0.230188679245283	0.0188679245283019	0.158490566037736	0.030188679245283	0.411320754716981		1	0.294339622641509	0.0905660377358491	0.294339622641509	0.0377358490566038	1	0.2	0.70188679245283	1	0.10188679245283	0.135849056603774	0.116981132075472	0.0113207547169811	0.0264150943396226	0.241509433962264	1	0.113207547169811	0.0264150943396226	0.0754716981132075	0.377358490566038	0.486792452830189	0.320754716981132	0.758490566037736	0.566037735849057	1	0.0150943396226415	0.0981132075471698	0.0113207547169811	0.207547169811321	1	0.0377358490566038	0.060377358490566	0.792452830188679	1	0.418867924528302	0.0792452830188679	0.705660377358491	0.0150943396226415	0	0.124528301886792	0.158490566037736	1	0.00754716981132075	0.105660377358491	1	0.113207547169811	0.177358490566038	0.260377358490566	0	0.283018867924528	0.275471698113208	0.0641509433962264	1	0.815094339622642	0.158490566037736	0.777358490566038	0.0113207547169811	0.109433962264151	0.181132075471698	1	1	0.2	0.162264150943396	0.030188679245283	0.4	0.354716981132075	0.143396226415094	0.0830188679245283	0.113207547169811	0.19622641509434	0.20377358490566	0.0679245283018868	0.871698113207547	0.566037735849057	0.0981132075471698	0.0792452830188679	0.192452830188679	1	0.00377358490566038	0.29811320754717	0.271698113207547	0.177358490566038	0.124528301886792
Bolinopsis_infundibulum	1	0.0679245283018868	0.0264150943396226	0	0.0792452830188679	0.354716981132075	0.256603773584906	1	0.230188679245283	0.0188679245283019	0.158490566037736	0.030188679245283	0.411320754716981	1		0.294339622641509	0.0905660377358491	0.294339622641509	0.0377358490566038	1	0.2	0.70188679245283	1	0.10188679245283	0.135849056603774	0.116981132075472	0.0113207547169811	0.0264150943396226	0.241509433962264	1	0.113207547169811	0.0264150943396226	0.0754716981132075	0.377358490566038	0.486792452830189	0.320754716981132	0.758490566037736	0.566037735849057	1	0.0150943396226415	0.0981132075471698	0.0113207547169811	0.207547169811321	1	0.0377358490566038	0.060377358490566	0.792452830188679	1	0.418867924528302	0.0792452830188679	0.705660377358491	0.0150943396226415	0	0.124528301886792	0.158490566037736	1	0.00754716981132075	0.105660377358491	1	0.113207547169811	0.177358490566038	0.260377358490566	0	0.283018867924528	0.275471698113208	0.0641509433962264	1	0.815094339622642	0.158490566037736	0.777358490566038	0.0113207547169811	0.109433962264151	0.181132075471698	1	1	0.2	0.162264150943396	0.030188679245283	0.4	0.354716981132075	0.143396226415094	0.0830188679245283	0.113207547169811	0.19622641509434	0.20377358490566	0.0679245283018868	0.871698113207547	0.566037735849057	0.0981132075471698	0.0792452830188679	0.192452830188679	1	0.00377358490566038	0.29811320754717	0.271698113207547	0.177358490566038	0.124528301886792
Bolocera_tuedia	0.294339622641509	0.00377358490566038	0.00377358490566038	0	0.00377358490566038	0.166037735849057	0.0528301886792453	0.294339622641509	0.0754716981132075	0.00377358490566038	0.0867924528301887	0	0.252830188679245	0.294339622641509	0.294339622641509		0.0113207547169811	0.241509433962264	0.0150943396226415	0.294339622641509	0.0377358490566038	0.294339622641509	0.294339622641509	0.0377358490566038	0.0150943396226415	0.0264150943396226	0.00754716981132075	0	0.0792452830188679	0.294339622641509	0.0415094339622641	0.0113207547169811	0.0150943396226415	0.139622641509434	0.0415094339622641	0.19622641509434	0.116981132075472	0.286792452830189	0.294339622641509	0	0.00754716981132075	0.0113207547169811	0.10188679245283	0.294339622641509	0.00754716981132075	0	0.0905660377358491	0.294339622641509	0.233962264150943	0.0264150943396226	0.0566037735849057	0	0	0.0226415094339623	0.0150943396226415	0.294339622641509	0	0	0.294339622641509	0.0490566037735849	0.0830188679245283	0.0490566037735849	0	0.241509433962264	0.241509433962264	0.00754716981132075	0.294339622641509	0.109433962264151	0.0490566037735849	0.252830188679245	0	0.00754716981132075	0.10188679245283	0.294339622641509	0.294339622641509	0.0113207547169811	0.0490566037735849	0.0188679245283019	0.252830188679245	0.116981132075472	0.0264150943396226	0.0188679245283019	0.0150943396226415	0.0188679245283019	0.0452830188679245	0.0150943396226415	0.260377358490566	0.0830188679245283	0.0150943396226415	0.0415094339622641	0.0490566037735849	0.294339622641509	0.00377358490566038	0.0528301886792453	0.030188679245283	0.0150943396226415	0.0339622641509434
Branchiostoma_floridae	0.0905660377358491	0.0226415094339623	0	0	0.0188679245283019	0.0641509433962264	0.0905660377358491	0.0905660377358491	0.060377358490566	0.00754716981132075	0.0264150943396226	0.0264150943396226	0.0905660377358491	0.0905660377358491	0.0905660377358491	0.0113207547169811		0.0377358490566038	0.00754716981132075	0.0905660377358491	0.0452830188679245	0.0905660377358491	0.0905660377358491	0.0490566037735849	0.060377358490566	0	0.0113207547169811	0.0188679245283019	0.0641509433962264	0.0905660377358491	0.0113207547169811	0.0113207547169811	0.0528301886792453	0	0	0.0905660377358491	0.0339622641509434	0.0113207547169811	0.0905660377358491	0	0.0490566037735849	0	0	0.0905660377358491	0.030188679245283	0.0188679245283019	0.0905660377358491	0.0905660377358491	0.0490566037735849	0	0.0792452830188679	0	0	0.0415094339622641	0.0830188679245283	0.0905660377358491	0	0.0264150943396226	0.0905660377358491	0.0490566037735849	0.0528301886792453	0.030188679245283	0	0.0264150943396226	0.00754716981132075	0.0415094339622641	0.0905660377358491	0.0905660377358491	0.0754716981132075	0.0905660377358491	0.0113207547169811	0.0490566037735849	0	0.0905660377358491	0.0905660377358491	0.060377358490566	0.0528301886792453	0.0226415094339623	0.0905660377358491	0.0867924528301887	0.060377358490566	0.0339622641509434	0.0490566037735849	0.0566037735849057	0.0566037735849057	0.0452830188679245	0.0905660377358491	0.0905660377358491	0.0528301886792453	0.0415094339622641	0.0226415094339623	0.0905660377358491	0.00377358490566038	0.060377358490566	0.0377358490566038	0.0792452830188679	0
Capitella_teleta	0.294339622641509	0.00377358490566038	0.00377358490566038	0	0.0150943396226415	0.169811320754717	0.0528301886792453	0.294339622641509	0.0754716981132075	0.00377358490566038	0.0452830188679245	0.030188679245283	0.294339622641509	0.294339622641509	0.294339622641509	0.241509433962264	0.0377358490566038		0.00754716981132075	0.294339622641509	0.0264150943396226	0.294339622641509	0.294339622641509	0.0377358490566038	0.0113207547169811	0.0264150943396226	0	0.0264150943396226	0.120754716981132	0.294339622641509	0.060377358490566	0.00377358490566038	0.0113207547169811	0.0981132075471698	0	0.237735849056604	0.0905660377358491	0.241509433962264	0.294339622641509	0	0.0566037735849057	0.0113207547169811	0.10188679245283	0.294339622641509	0.0377358490566038	0.0339622641509434	0.0905660377358491	0.294339622641509	0.237735849056604	0.0264150943396226	0.0566037735849057	0	0	0.0377358490566038	0.0452830188679245	0.294339622641509	0	0.0113207547169811	0.294339622641509	0.0528301886792453	0.0716981132075472	0.0377358490566038	0	0.241509433962264	0.241509433962264	0.0415094339622641	0.294339622641509	0.109433962264151	0.0905660377358491	0.294339622641509	0.0113207547169811	0.0528301886792453	0.10188679245283	0.294339622641509	0.294339622641509	0.0528301886792453	0.0528301886792453	0.00754716981132075	0.294339622641509	0.158490566037736	0.0264150943396226	0.0377358490566038	0.00754716981132075	0.0150943396226415	0.0415094339622641	0.00377358490566038	0.294339622641509	0.0867924528301887	0.00377358490566038	0.0641509433962264	0.0226415094339623	0.294339622641509	0	0.0528301886792453	0.0415094339622641	0.0566037735849057	0.0339622641509434
Capsaspora_owczarzaki_atcc30864	0.0377358490566038	0	0.0113207547169811	0	0	0.0264150943396226	0.0339622641509434	0.0377358490566038	0.0226415094339623	0	0.0150943396226415	0	0.0188679245283019	0.0377358490566038	0.0377358490566038	0.0150943396226415	0.00754716981132075	0.00754716981132075		0.0377358490566038	0.0150943396226415	0.0226415094339623	0.0377358490566038	0	0.0113207547169811	0.00377358490566038	0	0	0.0113207547169811	0.0377358490566038	0.00377358490566038	0.0113207547169811	0.0188679245283019	0.0188679245283019	0.0188679245283019	0.00754716981132075	0.030188679245283	0.0150943396226415	0.0377358490566038	0.00377358490566038	0.00754716981132075	0	0.00377358490566038	0.0377358490566038	0.00754716981132075	0	0.0377358490566038	0.0377358490566038	0.0339622641509434	0	0.0377358490566038	0	0	0	0.00754716981132075	0.0377358490566038	0.00377358490566038	0.0226415094339623	0.0377358490566038	0.0226415094339623	0.0113207547169811	0.0150943396226415	0	0.00377358490566038	0.00377358490566038	0	0.0377358490566038	0.0377358490566038	0.00754716981132075	0.0226415094339623	0.00754716981132075	0.00754716981132075	0	0.0377358490566038	0.0377358490566038	0.0113207547169811	0.0264150943396226	0	0.0113207547169811	0.0226415094339623	0.0226415094339623	0.0188679245283019	0.00754716981132075	0.0188679245283019	0.0188679245283019	0.0113207547169811	0.030188679245283	0.0377358490566038	0.0113207547169811	0	0.0150943396226415	0.0377358490566038	0	0.0264150943396226	0	0.0113207547169811	0.00377358490566038
Cestum_veneris	1	0.0679245283018868	0.0264150943396226	0	0.0792452830188679	0.354716981132075	0.256603773584906	1	0.230188679245283	0.0188679245283019	0.158490566037736	0.030188679245283	0.411320754716981	1	1	0.294339622641509	0.0905660377358491	0.294339622641509	0.0377358490566038		0.2	0.70188679245283	1	0.10188679245283	0.135849056603774	0.116981132075472	0.0113207547169811	0.0264150943396226	0.241509433962264	1	0.113207547169811	0.0264150943396226	0.0754716981132075	0.377358490566038	0.486792452830189	0.320754716981132	0.758490566037736	0.566037735849057	1	0.0150943396226415	0.0981132075471698	0.0113207547169811	0.207547169811321	1	0.0377358490566038	0.060377358490566	0.792452830188679	1	0.418867924528302	0.0792452830188679	0.705660377358491	0.0150943396226415	0	0.124528301886792	0.158490566037736	1	0.00754716981132075	0.105660377358491	1	0.113207547169811	0.177358490566038	0.260377358490566	0	0.283018867924528	0.275471698113208	0.0641509433962264	1	0.815094339622642	0.158490566037736	0.777358490566038	0.0113207547169811	0.109433962264151	0.181132075471698	1	1	0.2	0.162264150943396	0.030188679245283	0.4	0.354716981132075	0.143396226415094	0.0830188679245283	0.113207547169811	0.19622641509434	0.20377358490566	0.0679245283018868	0.871698113207547	0.566037735849057	0.0981132075471698	0.0792452830188679	0.192452830188679	1	0.00377358490566038	0.29811320754717	0.271698113207547	0.177358490566038	0.124528301886792
Choanoeca_perplexa_11	0.2	0.0377358490566038	0.0113207547169811	0	0.00377358490566038	0.177358490566038	0.132075471698113	0.2	0.0339622641509434	0.00377358490566038	0.0150943396226415	0	0.116981132075472	0.2	0.2	0.0377358490566038	0.0452830188679245	0.0264150943396226	0.0150943396226415	0.2		0.105660377358491	0.2	0.0415094339622641	0.0754716981132075	0.0377358490566038	0.00754716981132075	0	0.0679245283018868	0.2	0.0150943396226415	0.0188679245283019	0.0641509433962264	0.00377358490566038	0.0830188679245283	0.0830188679245283	0.135849056603774	0.0452830188679245	0.2	0.0150943396226415	0.0226415094339623	0.00377358490566038	0.0188679245283019	0.2	0	0	0.169811320754717	0.2	0.0452830188679245	0.0641509433962264	0.139622641509434	0.0150943396226415	0	0.0150943396226415	0.0566037735849057	0.2	0.00377358490566038	0.0792452830188679	0.2	0.00754716981132075	0.0792452830188679	0.0150943396226415	0	0.0679245283018868	0.0415094339622641	0.00754716981132075	0.2	0.177358490566038	0.0830188679245283	0.2	0	0.0528301886792453	0.0792452830188679	0.2	0.2	0.116981132075472	0.0226415094339623	0.0188679245283019	0.109433962264151	0.158490566037736	0.0867924528301887	0.0452830188679245	0.10188679245283	0.158490566037736	0.0981132075471698	0.060377358490566	0.2	0.19622641509434	0.0716981132075472	0.0339622641509434	0.00754716981132075	0.2	0.00377358490566038	0.116981132075472	0.0415094339622641	0.105660377358491	0.0264150943396226
Chondrilla_nucula	0.70188679245283	0.0679245283018868	0.0150943396226415	0	0.0226415094339623	0.264150943396226	0.20377358490566	0.70188679245283	0.230188679245283	0.0188679245283019	0.158490566037736	0.030188679245283	0.39622641509434	0.70188679245283	0.70188679245283	0.294339622641509	0.0905660377358491	0.294339622641509	0.0226415094339623	0.70188679245283	0.105660377358491		0.70188679245283	0.10188679245283	0.10188679245283	0.0490566037735849	0.0113207547169811	0.0264150943396226	0.2	0.70188679245283	0.0981132075471698	0.0150943396226415	0.0641509433962264	0.373584905660377	0.309433962264151	0.320754716981132	0.460377358490566	0.547169811320755	0.70188679245283	0	0.0981132075471698	0.0113207547169811	0.139622641509434	0.70188679245283	0.0377358490566038	0.0339622641509434	0.494339622641509	0.70188679245283	0.347169811320755	0.0415094339622641	0.407547169811321	0	0	0.124528301886792	0.120754716981132	0.70188679245283	0.00377358490566038	0.0754716981132075	0.70188679245283	0.113207547169811	0.162264150943396	0.256603773584906	0	0.267924528301887	0.260377358490566	0.0641509433962264	0.70188679245283	0.516981132075472	0.139622641509434	0.479245283018868	0.0113207547169811	0.0641509433962264	0.124528301886792	0.70188679245283	0.70188679245283	0.124528301886792	0.147169811320755	0.030188679245283	0.392452830188679	0.233962264150943	0.113207547169811	0.0679245283018868	0.0679245283018868	0.105660377358491	0.173584905660377	0.0566037735849057	0.573584905660377	0.267924528301887	0.0867924528301887	0.0792452830188679	0.192452830188679	0.70188679245283	0.00377358490566038	0.222641509433962	0.271698113207547	0.109433962264151	0.0641509433962264
Clathrina_coriacea	1	0.0679245283018868	0.0264150943396226	0	0.0792452830188679	0.354716981132075	0.256603773584906	1	0.230188679245283	0.0188679245283019	0.158490566037736	0.030188679245283	0.411320754716981	1	1	0.294339622641509	0.0905660377358491	0.294339622641509	0.0377358490566038	1	0.2	0.70188679245283		0.10188679245283	0.135849056603774	0.116981132075472	0.0113207547169811	0.0264150943396226	0.241509433962264	1	0.113207547169811	0.0264150943396226	0.0754716981132075	0.377358490566038	0.486792452830189	0.320754716981132	0.758490566037736	0.566037735849057	1	0.0150943396226415	0.0981132075471698	0.0113207547169811	0.207547169811321	1	0.0377358490566038	0.060377358490566	0.792452830188679	1	0.418867924528302	0.0792452830188679	0.705660377358491	0.0150943396226415	0	0.124528301886792	0.158490566037736	1	0.00754716981132075	0.105660377358491	1	0.113207547169811	0.177358490566038	0.260377358490566	0	0.283018867924528	0.275471698113208	0.0641509433962264	1	0.815094339622642	0.158490566037736	0.777358490566038	0.0113207547169811	0.109433962264151	0.181132075471698	1	1	0.2	0.162264150943396	0.030188679245283	0.4	0.354716981132075	0.143396226415094	0.0830188679245283	0.113207547169811	0.19622641509434	0.20377358490566	0.0679245283018868	0.871698113207547	0.566037735849057	0.0981132075471698	0.0792452830188679	0.192452830188679	1	0.00377358490566038	0.29811320754717	0.271698113207547	0.177358490566038	0.124528301886792
Clytia_hemisphaerica	0.10188679245283	0.0226415094339623	0.00377358490566038	0	0.0188679245283019	0.0867924528301887	0.0754716981132075	0.10188679245283	0.0566037735849057	0.0150943396226415	0.0339622641509434	0.0113207547169811	0.10188679245283	0.10188679245283	0.10188679245283	0.0377358490566038	0.0490566037735849	0.0377358490566038	0	0.10188679245283	0.0415094339622641	0.10188679245283	0.10188679245283		0.0679245283018868	0.00377358490566038	0.0113207547169811	0.0113207547169811	0.0566037735849057	0.10188679245283	0.0226415094339623	0.0150943396226415	0.0377358490566038	0.0113207547169811	0	0.0867924528301887	0.0566037735849057	0.060377358490566	0.10188679245283	0	0.0452830188679245	0	0.0113207547169811	0.10188679245283	0.00754716981132075	0.0113207547169811	0.0867924528301887	0.10188679245283	0.0339622641509434	0.0226415094339623	0.0490566037735849	0	0	0.0528301886792453	0.0754716981132075	0.10188679245283	0	0.0113207547169811	0.10188679245283	0.0226415094339623	0.0716981132075472	0.0452830188679245	0	0.0452830188679245	0.0452830188679245	0.0339622641509434	0.10188679245283	0.0905660377358491	0.0452830188679245	0.10188679245283	0	0.0226415094339623	0.0113207547169811	0.10188679245283	0.10188679245283	0.0566037735849057	0.0415094339622641	0.030188679245283	0.10188679245283	0.0490566037735849	0.0679245283018868	0.0415094339622641	0.0452830188679245	0.0641509433962264	0.0830188679245283	0.0377358490566038	0.10188679245283	0.0792452830188679	0.0679245283018868	0.0264150943396226	0.0415094339622641	0.10188679245283	0.00377358490566038	0.0566037735849057	0.0415094339622641	0.0641509433962264	0
Codosiga_hollandica_17	0.135849056603774	0.0415094339622641	0.00377358490566038	0	0.030188679245283	0.0943396226415094	0.0981132075471698	0.135849056603774	0.060377358490566	0.0150943396226415	0.0150943396226415	0	0.0943396226415094	0.135849056603774	0.135849056603774	0.0150943396226415	0.060377358490566	0.0113207547169811	0.0113207547169811	0.135849056603774	0.0754716981132075	0.10188679245283	0.135849056603774	0.0679245283018868		0.0226415094339623	0.0113207547169811	0	0.0566037735849057	0.135849056603774	0.00754716981132075	0.0150943396226415	0.0566037735849057	0.00377358490566038	0.030188679245283	0.0905660377358491	0.0943396226415094	0.060377358490566	0.135849056603774	0.00754716981132075	0.0490566037735849	0	0.0150943396226415	0.135849056603774	0.0113207547169811	0.0113207547169811	0.128301886792453	0.135849056603774	0.0188679245283019	0.0226415094339623	0.0905660377358491	0	0	0.030188679245283	0.105660377358491	0.135849056603774	0.00377358490566038	0.0490566037735849	0.135849056603774	0.0188679245283019	0.0943396226415094	0.0339622641509434	0	0.0377358490566038	0.030188679245283	0.0226415094339623	0.135849056603774	0.135849056603774	0.0452830188679245	0.135849056603774	0.00754716981132075	0.0226415094339623	0.00754716981132075	0.135849056603774	0.135849056603774	0.0792452830188679	0.0452830188679245	0.0264150943396226	0.10188679245283	0.0792452830188679	0.105660377358491	0.0415094339622641	0.0679245283018868	0.105660377358491	0.105660377358491	0.0566037735849057	0.135849056603774	0.135849056603774	0.0867924528301887	0.0150943396226415	0.030188679245283	0.135849056603774	0.00377358490566038	0.0792452830188679	0.030188679245283	0.0716981132075472	0.0150943396226415
Coeloplana_species	0.116981132075472	0.0188679245283019	0.00377358490566038	0	0.0415094339622641	0.0415094339622641	0	0.116981132075472	0.00377358490566038	0	0.00754716981132075	0	0.0264150943396226	0.116981132075472	0.116981132075472	0.0264150943396226	0	0.0264150943396226	0.00377358490566038	0.116981132075472	0.0377358490566038	0.0490566037735849	0.116981132075472	0.00377358490566038	0.0226415094339623		0	0	0.0188679245283019	0.116981132075472	0.0188679245283019	0	0	0.030188679245283	0.0867924528301887	0.0264150943396226	0.0905660377358491	0.0679245283018868	0.116981132075472	0.0150943396226415	0	0	0.0264150943396226	0.116981132075472	0.00377358490566038	0.00377358490566038	0.0943396226415094	0.116981132075472	0.0452830188679245	0.0113207547169811	0.0943396226415094	0	0	0.0188679245283019	0.030188679245283	0.116981132075472	0.00377358490566038	0.0150943396226415	0.116981132075472	0	0	0.0264150943396226	0	0.0415094339622641	0.0415094339622641	0	0.116981132075472	0.0905660377358491	0.0339622641509434	0.0943396226415094	0	0	0.0415094339622641	0.116981132075472	0.116981132075472	0.0150943396226415	0.0150943396226415	0	0.0339622641509434	0.0566037735849057	0.00754716981132075	0.00377358490566038	0	0.0150943396226415	0.0415094339622641	0	0.113207547169811	0.0905660377358491	0	0.0226415094339623	0.0188679245283019	0.116981132075472	0	0.0188679245283019	0.030188679245283	0.0150943396226415	0.0943396226415094
Corticium_candelabrum	0.0113207547169811	0	0	0	0.00754716981132075	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.00377358490566038	0.00754716981132075	0	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.00754716981132075	0.0113207547169811	0	0	0.0113207547169811	0.00754716981132075	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0		0	0.0113207547169811	0.0113207547169811	0	0.0113207547169811	0.00754716981132075	0	0	0.0113207547169811	0.0113207547169811	0.00754716981132075	0.0113207547169811	0	0.00754716981132075	0	0	0.0113207547169811	0	0	0.0113207547169811	0.0113207547169811	0.0113207547169811	0	0.0113207547169811	0	0	0.0113207547169811	0.0113207547169811	0.0113207547169811	0	0	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.00754716981132075	0	0	0.00377358490566038	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.00754716981132075	0.0113207547169811	0	0.0113207547169811	0	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.00754716981132075	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.00754716981132075	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.0113207547169811	0.00377358490566038	0.0113207547169811	0.00754716981132075	0.0113207547169811	0
