	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_sp_10tr	0		0.964285714285714	0.964285714285714	0.964285714285714	0	0.952380952380952	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0	0	0.964285714285714	0.964285714285714	0.964285714285714	0	0	0.857142857142857	0.738095238095238	0	0.964285714285714	0.523809523809524	0.952380952380952	0.916666666666667	0.964285714285714	0.964285714285714	0.869047619047619	0.964285714285714	0.928571428571429	0.892857142857143	0.678571428571429	0.964285714285714	0.964285714285714	0.964285714285714	0	0.964285714285714	0.964285714285714	0	0.964285714285714	0.964285714285714	0	0.964285714285714	0.964285714285714	0.583333333333333	0.892857142857143	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0	0.964285714285714	0	0	0.964285714285714	0.928571428571429	0.964285714285714	0.964285714285714	0	0.964285714285714	0.964285714285714	0.892857142857143	0.964285714285714	0.726190476190476	0.964285714285714	0.952380952380952	0.964285714285714	0	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0.952380952380952	0.964285714285714	0.964285714285714	0	0.964285714285714	0.761904761904762	0	0	0	0.928571428571429	0.94047619047619	0.964285714285714	0	0.892857142857143	0.952380952380952	0	0.892857142857143	0.964285714285714	0.964285714285714	0.964285714285714	0.94047619047619	0.892857142857143	0.857142857142857
Acanthoeca_spectabilis_VA_02	0	0.964285714285714		0.964285714285714	0.964285714285714	0	0.952380952380952	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0	0	0.964285714285714	0.964285714285714	0.964285714285714	0	0	0.857142857142857	0.738095238095238	0	0.964285714285714	0.523809523809524	0.952380952380952	0.916666666666667	0.964285714285714	0.964285714285714	0.869047619047619	0.964285714285714	0.928571428571429	0.892857142857143	0.678571428571429	0.964285714285714	0.964285714285714	0.964285714285714	0	0.964285714285714	0.964285714285714	0	0.964285714285714	0.964285714285714	0	0.964285714285714	0.964285714285714	0.583333333333333	0.892857142857143	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0	0.964285714285714	0	0	0.964285714285714	0.928571428571429	0.964285714285714	0.964285714285714	0	0.964285714285714	0.964285714285714	0.892857142857143	0.964285714285714	0.726190476190476	0.964285714285714	0.952380952380952	0.964285714285714	0	0.964285714285714	0.964285714285714	0.964285714285714	0.964285714285714	0.952380952380952	0.964285714285714	0.964285714285714	0	0.964285714285714	0.761904761904762	0	0	0	0.928571428571429	0.94047619047619	0.964285714285714	0	0.892857142857143	0.952380952380952	0	0.892857142857143	0.964285714285714	0.964285714285714	0.964285714285714	0.94047619047619	0.892857142857143	0.857142857142857
Aiptasia_pallida	0	0.964285714285714	0.964285714285714		1	0	0.988095238095238	1	1	1	1	1	1	0	0	1	1	1	0	0	0.857142857142857	0.773809523809524	0	1	0.523809523809524	0.988095238095238	0.952380952380952	1	1	0.869047619047619	1	0.964285714285714	0.892857142857143	0.678571428571429	1	1	1	0	1	1	0	1	1	0	1	1	0.619047619047619	0.892857142857143	1	1	1	1	0	1	0	0	1	0.94047619047619	1	1	0	1	1	0.928571428571429	1	0.761904761904762	1	0.988095238095238	1	0	1	1	1	1	0.988095238095238	1	1	0	1	0.761904761904762	0	0	0	0.964285714285714	0.976190476190476	0.964285714285714	0	0.916666666666667	0.988095238095238	0	0.892857142857143	1	1	1	0.964285714285714	0.892857142857143	0.857142857142857
Alatina_alata	0	0.964285714285714	0.964285714285714	1		0	0.988095238095238	1	1	1	1	1	1	0	0	1	1	1	0	0	0.857142857142857	0.773809523809524	0	1	0.523809523809524	0.988095238095238	0.952380952380952	1	1	0.869047619047619	1	0.964285714285714	0.892857142857143	0.678571428571429	1	1	1	0	1	1	0	1	1	0	1	1	0.619047619047619	0.892857142857143	1	1	1	1	0	1	0	0	1	0.94047619047619	1	1	0	1	1	0.928571428571429	1	0.761904761904762	1	0.988095238095238	1	0	1	1	1	1	0.988095238095238	1	1	0	1	0.761904761904762	0	0	0	0.964285714285714	0.976190476190476	0.964285714285714	0	0.916666666666667	0.988095238095238	0	0.892857142857143	1	1	1	0.964285714285714	0.892857142857143	0.857142857142857
Amoebidium_parasiticum_JAP72	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphimedon_queenslandica	0	0.952380952380952	0.952380952380952	0.988095238095238	0.988095238095238	0		0.988095238095238	0.988095238095238	0.988095238095238	0.988095238095238	0.988095238095238	0.988095238095238	0	0	0.988095238095238	0.988095238095238	0.988095238095238	0	0	0.857142857142857	0.773809523809524	0	0.988095238095238	0.523809523809524	0.976190476190476	0.94047619047619	0.988095238095238	0.988095238095238	0.869047619047619	0.988095238095238	0.964285714285714	0.880952380952381	0.678571428571429	0.988095238095238	0.988095238095238	0.988095238095238	0	0.988095238095238	0.988095238095238	0	0.988095238095238	0.988095238095238	0	0.988095238095238	0.988095238095238	0.619047619047619	0.880952380952381	0.988095238095238	0.988095238095238	0.988095238095238	0.988095238095238	0	0.988095238095238	0	0	0.988095238095238	0.94047619047619	0.988095238095238	0.988095238095238	0	0.988095238095238	0.988095238095238	0.916666666666667	0.988095238095238	0.761904761904762	0.988095238095238	0.988095238095238	0.988095238095238	0	0.988095238095238	0.988095238095238	0.988095238095238	0.988095238095238	0.976190476190476	0.988095238095238	0.988095238095238	0	0.988095238095238	0.761904761904762	0	0	0	0.964285714285714	0.976190476190476	0.952380952380952	0	0.904761904761905	0.988095238095238	0	0.880952380952381	0.988095238095238	0.988095238095238	0.988095238095238	0.952380952380952	0.880952380952381	0.857142857142857
Antipathes_caribbeana	0	0.964285714285714	0.964285714285714	1	1	0	0.988095238095238		1	1	1	1	1	0	0	1	1	1	0	0	0.857142857142857	0.773809523809524	0	1	0.523809523809524	0.988095238095238	0.952380952380952	1	1	0.869047619047619	1	0.964285714285714	0.892857142857143	0.678571428571429	1	1	1	0	1	1	0	1	1	0	1	1	0.619047619047619	0.892857142857143	1	1	1	1	0	1	0	0	1	0.94047619047619	1	1	0	1	1	0.928571428571429	1	0.761904761904762	1	0.988095238095238	1	0	1	1	1	1	0.988095238095238	1	1	0	1	0.761904761904762	0	0	0	0.964285714285714	0.976190476190476	0.964285714285714	0	0.916666666666667	0.988095238095238	0	0.892857142857143	1	1	1	0.964285714285714	0.892857142857143	0.857142857142857
Aphrocallistes_vastus	0	0.964285714285714	0.964285714285714	1	1	0	0.988095238095238	1		1	1	1	1	0	0	1	1	1	0	0	0.857142857142857	0.773809523809524	0	1	0.523809523809524	0.988095238095238	0.952380952380952	1	1	0.869047619047619	1	0.964285714285714	0.892857142857143	0.678571428571429	1	1	1	0	1	1	0	1	1	0	1	1	0.619047619047619	0.892857142857143	1	1	1	1	0	1	0	0	1	0.94047619047619	1	1	0	1	1	0.928571428571429	1	0.761904761904762	1	0.988095238095238	1	0	1	1	1	1	0.988095238095238	1	1	0	1	0.761904761904762	0	0	0	0.964285714285714	0.976190476190476	0.964285714285714	0	0.916666666666667	0.988095238095238	0	0.892857142857143	1	1	1	0.964285714285714	0.892857142857143	0.857142857142857
Aplysia_californica	0	0.964285714285714	0.964285714285714	1	1	0	0.988095238095238	1	1		1	1	1	0	0	1	1	1	0	0	0.857142857142857	0.773809523809524	0	1	0.523809523809524	0.988095238095238	0.952380952380952	1	1	0.869047619047619	1	0.964285714285714	0.892857142857143	0.678571428571429	1	1	1	0	1	1	0	1	1	0	1	1	0.619047619047619	0.892857142857143	1	1	1	1	0	1	0	0	1	0.94047619047619	1	1	0	1	1	0.928571428571429	1	0.761904761904762	1	0.988095238095238	1	0	1	1	1	1	0.988095238095238	1	1	0	1	0.761904761904762	0	0	0	0.964285714285714	0.976190476190476	0.964285714285714	0	0.916666666666667	0.988095238095238	0	0.892857142857143	1	1	1	0.964285714285714	0.892857142857143	0.857142857142857
